mass_A
t,x,y
3.168000000e1,1.190498227e-1,5.290830173e-1
3.170000000e1,1.190434605e-1,5.290779618e-1
3.172000000e1,1.190379501e-1,5.290736602e-1
3.174000000e1,1.190331511e-1,5.290700796e-1
3.176000000e1,1.190288580e-1,5.290669222e-1
3.178000000e1,1.189528178e-1,5.291599238e-1
3.180000000e1,1.187824918e-1,5.293528105e-1
3.182000000e1,1.186002490e-1,5.294145171e-1
3.184000000e1,1.185285040e-1,5.295396719e-1
3.186000000e1,1.184668290e-1,5.296148610e-1
3.188000000e1,1.182817225e-1,5.298104247e-1
3.190000000e1,1.181262669e-1,5.299217688e-1
3.192000000e1,1.175145169e-1,5.299544886e-1
3.194000000e1,1.175060741e-1,5.303405209e-1
3.196000000e1,1.175292932e-1,5.306226723e-1
3.198000000e1,1.173027215e-1,5.309518277e-1
3.200000000e1,1.171022675e-1,5.310967257e-1
3.202000000e1,1.166336200e-1,5.316512005e-1
3.204000000e1,1.166085081e-1,5.316123756e-1
3.206000000e1,1.166003014e-1,5.315884764e-1
3.208000000e1,1.165934509e-1,5.315689390e-1
3.210000000e1,1.165876504e-1,5.315525996e-1
3.212000000e1,1.165822534e-1,5.315379106e-1
3.214000000e1,1.165782209e-1,5.315257697e-1
3.216000000e1,1.165745624e-1,5.315151005e-1
3.218000000e1,1.165723159e-1,5.315069485e-1
3.220000000e1,1.165696092e-1,5.314992307e-1
3.222000000e1,1.165674216e-1,5.314930816e-1
3.224000000e1,1.165652355e-1,5.314872977e-1
3.226000000e1,1.165634998e-1,5.314826293e-1
3.228000000e1,1.165618366e-1,5.314781139e-1
3.230000000e1,1.165531123e-1,5.316000105e-1
3.232000000e1,1.161386480e-1,5.320944564e-1
3.234000000e1,1.158033774e-1,5.324779320e-1
3.236000000e1,1.156386929e-1,5.326078499e-1
3.238000000e1,1.152157573e-1,5.329051305e-1
3.240000000e1,1.151989879e-1,5.329030935e-1
3.242000000e1,1.151851274e-1,5.329004499e-1
3.244000000e1,1.151737320e-1,5.328987778e-1
3.246000000e1,1.151633456e-1,5.328961704e-1
3.248000000e1,1.151546243e-1,5.328941437e-1
3.250000000e1,1.151426030e-1,5.328907735e-1
3.252000000e1,1.151327390e-1,5.328881006e-1
3.254000000e1,1.151240537e-1,5.328857711e-1
3.256000000e1,1.148882658e-1,5.330325160e-1
3.258000000e1,1.147263713e-1,5.333240638e-1
3.260000000e1,1.145776294e-1,5.334884251e-1
3.262000000e1,1.144981585e-1,5.337311759e-1
3.264000000e1,1.142678753e-1,5.338213984e-1
3.266000000e1,1.141567450e-1,5.338372172e-1
3.268000000e1,1.140710957e-1,5.341161785e-1
3.270000000e1,1.140609338e-1,5.341306049e-1
3.272000000e1,1.140636900e-1,5.341630485e-1
3.274000000e1,1.140690890e-1,5.341928969e-1
3.276000000e1,1.140715427e-1,5.342110372e-1
3.278000000e1,1.140744556e-1,5.342282784e-1
3.280000000e1,1.140758167e-1,5.342384743e-1
3.282000000e1,1.140751239e-1,5.342473661e-1
3.284000000e1,1.140758012e-1,5.342545422e-1
3.286000000e1,1.140752452e-1,5.342603881e-1
3.288000000e1,1.140765984e-1,5.342647751e-1
3.290000000e1,1.140790125e-1,5.342696886e-1
3.292000000e1,1.140806189e-1,5.342735945e-1
3.294000000e1,1.140821998e-1,5.342773769e-1
3.296000000e1,1.140837661e-1,5.342799419e-1
3.298000000e1,1.140848549e-1,5.342839191e-1
3.300000000e1,1.140858875e-1,5.342866684e-1
3.302000000e1,1.140865754e-1,5.342891269e-1
3.304000000e1,1.140876291e-1,5.342905801e-1
3.306000000e1,1.140882604e-1,5.342913941e-1
3.308000000e1,1.140885550e-1,5.342918141e-1
3.310000000e1,1.140890789e-1,5.342922492e-1
3.312000000e1,1.140895093e-1,5.342922239e-1
3.314000000e1,1.140900812e-1,5.342929382e-1
3.316000000e1,1.140904484e-1,5.342937167e-1
3.318000000e1,1.140907176e-1,5.342943505e-1
3.320000000e1,1.140910274e-1,5.342948853e-1
3.322000000e1,1.140913969e-1,5.342955965e-1
3.324000000e1,1.140918305e-1,5.342961872e-1
3.326000000e1,1.140922900e-1,5.342967278e-1
3.328000000e1,1.140924727e-1,5.342972795e-1
3.330000000e1,1.140928490e-1,5.342975648e-1
3.332000000e1,1.140931635e-1,5.342977561e-1
3.334000000e1,1.140934152e-1,5.342978659e-1
3.336000000e1,1.140936653e-1,5.342980238e-1
3.338000000e1,1.140939203e-1,5.342981796e-1
3.340000000e1,1.140941632e-1,5.342983216e-1
3.342000000e1,1.140943505e-1,5.342984520e-1
3.344000000e1,1.140945081e-1,5.342985825e-1
3.346000000e1,1.140946470e-1,5.342986787e-1
3.348000000e1,1.140947383e-1,5.342987379e-1
3.350000000e1,1.140947383e-1,5.342987379e-1
3.352000000e1,1.140947383e-1,5.342987379e-1
