mass_A
t,x,y
1.875000000e0,3.216620340e-1,3.185675599e-1
1.879166667e0,3.217146170e-1,3.186665684e-1
1.883333333e0,3.217465078e-1,3.187701678e-1
1.887500000e0,3.217672218e-1,3.188999032e-1
1.891666667e0,3.216301284e-1,3.190831707e-1
1.895833333e0,3.216819708e-1,3.191933581e-1
1.900000000e0,3.217247692e-1,3.192616974e-1
1.904166667e0,3.217536801e-1,3.193186435e-1
1.908333333e0,3.217888847e-1,3.193646975e-1
1.912500000e0,3.217813542e-1,3.194287873e-1
1.916666667e0,3.217711244e-1,3.194967955e-1
1.920833333e0,3.217556860e-1,3.195798660e-1
1.925000000e0,3.214798338e-1,3.201760571e-1
1.929166667e0,3.214313594e-1,3.202591258e-1
1.933333333e0,3.213945579e-1,3.203277407e-1
1.937500000e0,3.213674673e-1,3.204011205e-1
1.941666667e0,3.213521881e-1,3.205026007e-1
1.945833333e0,3.213362001e-1,3.206357881e-1
1.950000000e0,3.212320337e-1,3.207843575e-1
1.954166667e0,3.212214357e-1,3.209135886e-1
1.958333333e0,3.212166999e-1,3.209832494e-1
1.962500000e0,3.212150102e-1,3.210139706e-1
1.966666667e0,3.212139858e-1,3.210371599e-1
1.970833333e0,3.212135639e-1,3.210478515e-1
1.975000000e0,3.212130062e-1,3.210681092e-1
1.979166667e0,3.211693986e-1,3.211685245e-1
1.983333333e0,3.211725709e-1,3.211571594e-1
1.987500000e0,3.211423229e-1,3.212237931e-1
1.991666667e0,3.211044575e-1,3.213078998e-1
1.995833333e0,3.209797322e-1,3.214548064e-1
2.000000000e0,3.209805172e-1,3.216242571e-1
2.004166667e0,3.209690604e-1,3.217205239e-1
2.008333333e0,3.209632148e-1,3.217846915e-1
2.012500000e0,3.209806026e-1,3.218263630e-1
2.016666667e0,3.209971920e-1,3.218607936e-1
2.020833333e0,3.210076793e-1,3.218955167e-1
2.025000000e0,3.210140216e-1,3.219352068e-1
2.029166667e0,3.209859877e-1,3.219708203e-1
2.033333333e0,3.209562007e-1,3.220216081e-1
2.037500000e0,3.206936093e-1,3.225534662e-1
2.041666667e0,3.206148587e-1,3.226123925e-1
2.045833333e0,3.205866053e-1,3.226787179e-1
2.050000000e0,3.205589392e-1,3.227254238e-1
2.054166667e0,3.205450740e-1,3.227872896e-1
2.058333333e0,3.205352382e-1,3.228709482e-1
2.062500000e0,3.204885760e-1,3.229097668e-1
2.066666667e0,3.204567903e-1,3.229809227e-1
2.070833333e0,3.203870168e-1,3.231846361e-1
2.075000000e0,3.204024759e-1,3.233398424e-1
2.079166667e0,3.203920240e-1,3.233939703e-1
2.083333333e0,3.203801225e-1,3.234292410e-1
2.087500000e0,3.203636968e-1,3.234629157e-1
2.091666667e0,3.203432558e-1,3.234990092e-1
2.095833333e0,3.203428233e-1,3.235220893e-1
2.100000000e0,3.203450129e-1,3.235421529e-1
2.104166667e0,3.203449887e-1,3.235699572e-1
2.108333333e0,3.203439121e-1,3.236001762e-1
2.112500000e0,3.203164982e-1,3.236319043e-1
2.116666667e0,3.202771994e-1,3.236608794e-1
2.120833333e0,3.202330174e-1,3.236984615e-1
2.125000000e0,3.199064287e-1,3.242541955e-1
2.129166667e0,3.198423930e-1,3.243272807e-1
2.133333333e0,3.198052487e-1,3.244029742e-1
2.137500000e0,3.197843381e-1,3.244941282e-1
2.141666667e0,3.197733468e-1,3.246332571e-1
2.145833333e0,3.196724336e-1,3.247027741e-1
2.150000000e0,3.196743329e-1,3.248397351e-1
2.154166667e0,3.196769856e-1,3.249178212e-1
2.158333333e0,3.196774932e-1,3.249713183e-1
2.162500000e0,3.196726254e-1,3.249864693e-1
2.166666667e0,3.196709560e-1,3.249912879e-1
2.170833333e0,3.196694283e-1,3.249959875e-1
2.175000000e0,3.188856926e-1,3.251163706e-1
2.179166667e0,3.196648934e-1,3.250191056e-1
2.183333333e0,3.196603445e-1,3.250322317e-1
2.187500000e0,3.196583591e-1,3.250432593e-1
2.191666667e0,3.196547523e-1,3.250510227e-1
2.195833333e0,3.196536754e-1,3.250506414e-1
2.200000000e0,3.196516692e-1,3.250518803e-1
2.204166667e0,3.196497910e-1,3.250529605e-1
2.208333333e0,3.196482102e-1,3.250538684e-1
2.212500000e0,3.196479755e-1,3.250543978e-1
2.216666667e0,3.196476327e-1,3.250549309e-1
2.220833333e0,3.196472977e-1,3.250554500e-1
2.225000000e0,3.196468047e-1,3.250575306e-1
2.229166667e0,3.196480503e-1,3.250682349e-1
2.233333333e0,3.196485793e-1,3.250772377e-1
2.237500000e0,3.196484153e-1,3.250890033e-1
2.241666667e0,3.196496906e-1,3.251019629e-1
2.245833333e0,3.196478685e-1,3.251233198e-1
2.250000000e0,3.196454266e-1,3.251518053e-1
2.254166667e0,3.196434244e-1,3.251787388e-1
2.258333333e0,3.196420190e-1,3.252212179e-1
2.262500000e0,3.196279461e-1,3.252559333e-1
2.266666667e0,3.196138491e-1,3.253033745e-1
2.270833333e0,3.195963622e-1,3.253511960e-1
2.275000000e0,3.195770175e-1,3.254122043e-1
2.279166667e0,3.195523441e-1,3.254559752e-1
2.283333333e0,3.193981373e-1,3.255063609e-1
2.287500000e0,3.193623626e-1,3.255961293e-1
2.291666667e0,3.193128629e-1,3.256625741e-1
2.295833333e0,3.192754021e-1,3.256417324e-1
2.300000000e0,3.192375096e-1,3.256273058e-1
2.304166667e0,3.192003119e-1,3.259609559e-1
2.308333333e0,3.190995544e-1,3.259452831e-1
2.312500000e0,3.190035019e-1,3.259104035e-1
2.316666667e0,3.189422203e-1,3.258789418e-1
2.320833333e0,3.188987376e-1,3.258584685e-1
2.325000000e0,3.188620008e-1,3.258401965e-1
2.329166667e0,3.188246558e-1,3.258062737e-1
2.333333333e0,3.187825811e-1,3.257719121e-1
2.337500000e0,3.187295935e-1,3.257269362e-1
2.341666667e0,3.186524649e-1,3.256755009e-1
2.345833333e0,3.186377562e-1,3.256758538e-1
2.350000000e0,3.186135711e-1,3.256716341e-1
2.354166667e0,3.186003683e-1,3.256756382e-1
2.358333333e0,3.185729551e-1,3.256644568e-1
2.362500000e0,3.185165887e-1,3.256761564e-1
2.366666667e0,3.184405633e-1,3.256809422e-1
2.370833333e0,3.183610639e-1,3.260667644e-1
2.375000000e0,3.182529701e-1,3.260398984e-1
2.379166667e0,3.182126659e-1,3.260121821e-1
2.383333333e0,3.181821460e-1,3.259942504e-1
2.387500000e0,3.181548189e-1,3.259798522e-1
2.391666667e0,3.181288986e-1,3.259670703e-1
2.395833333e0,3.180594524e-1,3.259204082e-1
2.400000000e0,3.180020656e-1,3.258879645e-1
2.404166667e0,3.179364864e-1,3.258537546e-1
2.408333333e0,3.178434423e-1,3.258101292e-1
2.412500000e0,3.178007595e-1,3.258048696e-1
2.416666667e0,3.177413374e-1,3.257967733e-1
2.420833333e0,3.176674808e-1,3.257912341e-1
2.425000000e0,3.175794276e-1,3.260729748e-1
2.429166667e0,3.174655811e-1,3.260527810e-1
2.433333333e0,3.173905259e-1,3.260321428e-1
2.437500000e0,3.173355491e-1,3.260196584e-1
2.441666667e0,3.172919899e-1,3.260072441e-1
2.445833333e0,3.172677987e-1,3.259821681e-1
2.450000000e0,3.172524518e-1,3.259661307e-1
2.454166667e0,3.172003450e-1,3.259306626e-1
2.458333333e0,3.171560459e-1,3.259016155e-1
2.462500000e0,3.171379460e-1,3.258916792e-1
2.466666667e0,3.171181036e-1,3.258851821e-1
2.470833333e0,3.170990563e-1,3.258783406e-1
2.475000000e0,3.170780339e-1,3.258734042e-1
2.479166667e0,3.169957096e-1,3.258589901e-1
2.483333333e0,3.168824538e-1,3.258471540e-1
2.487500000e0,3.167377643e-1,3.260371286e-1
2.491666667e0,3.165862914e-1,3.259952538e-1
2.495833333e0,3.165128606e-1,3.259679588e-1
2.500000000e0,3.164525216e-1,3.259435491e-1
2.504166667e0,3.164025217e-1,3.259268116e-1
2.508333333e0,3.163489169e-1,3.259064888e-1
2.512500000e0,3.163017991e-1,3.258966259e-1
2.516666667e0,3.162381681e-1,3.258855177e-1
2.520833333e0,3.161595331e-1,3.258759731e-1
2.525000000e0,3.160557112e-1,3.258605438e-1
2.529166667e0,3.159592673e-1,3.260238775e-1
2.533333333e0,3.158307431e-1,3.260023270e-1
2.537500000e0,3.157461226e-1,3.259819698e-1
2.541666667e0,3.156919344e-1,3.259698210e-1
2.545833333e0,3.156163822e-1,3.259344318e-1
2.550000000e0,3.155436067e-1,3.259061746e-1
2.554166667e0,3.154437401e-1,3.258755012e-1
2.558333333e0,3.152844866e-1,3.258420375e-1
2.562500000e0,3.152309379e-1,3.258383962e-1
2.566666667e0,3.151919913e-1,3.259798728e-1
2.570833333e0,3.150786502e-1,3.259665163e-1
2.575000000e0,3.150044110e-1,3.259556137e-1
2.579166667e0,3.148540149e-1,3.258998420e-1
2.583333333e0,3.148314021e-1,3.258973269e-1
2.587500000e0,3.148073258e-1,3.258986466e-1
2.591666667e0,3.147883288e-1,3.258972432e-1
2.595833333e0,3.147682214e-1,3.258986584e-1
2.600000000e0,3.147092244e-1,3.258881839e-1
2.604166667e0,3.146241198e-1,3.258782278e-1
2.608333333e0,3.145007839e-1,3.258678103e-1
2.612500000e0,3.143131255e-1,3.259711857e-1
2.616666667e0,3.142457980e-1,3.259490559e-1
2.620833333e0,3.142044609e-1,3.259388226e-1
2.625000000e0,3.141698402e-1,3.259251296e-1
2.629166667e0,3.141381180e-1,3.259157074e-1
2.633333333e0,3.140731026e-1,3.259068299e-1
2.637500000e0,3.140164079e-1,3.258961270e-1
2.641666667e0,3.139737221e-1,3.258849677e-1
2.645833333e0,3.139273566e-1,3.258736039e-1
2.650000000e0,3.138616462e-1,3.258651373e-1
2.654166667e0,3.137541392e-1,3.258557948e-1
2.658333333e0,3.135938425e-1,3.258447639e-1
2.662500000e0,3.134249282e-1,3.259113804e-1
2.666666667e0,3.132891197e-1,3.258955407e-1
2.670833333e0,3.132068316e-1,3.258771218e-1
2.675000000e0,3.131179889e-1,3.258566047e-1
2.679166667e0,3.129886447e-1,3.258266536e-1
2.683333333e0,3.129526542e-1,3.258206593e-1
2.687500000e0,3.129075776e-1,3.258184923e-1
2.691666667e0,3.128555084e-1,3.258111406e-1
2.695833333e0,3.127948333e-1,3.258111610e-1
2.700000000e0,3.126272411e-1,3.258169972e-1
2.704166667e0,3.124906822e-1,3.257771839e-1
2.708333333e0,3.124045308e-1,3.257221477e-1
2.712500000e0,3.123184673e-1,3.256499369e-1
2.716666667e0,3.122673630e-1,3.256589047e-1
2.720833333e0,3.122186812e-1,3.256688111e-1
2.725000000e0,3.121612567e-1,3.256707327e-1
2.729166667e0,3.121032915e-1,3.256705638e-1
2.733333333e0,3.119702086e-1,3.256654609e-1
2.737500000e0,3.117843908e-1,3.256889135e-1
2.741666667e0,3.116795454e-1,3.257014989e-1
2.745833333e0,3.116043791e-1,3.257214288e-1
2.750000000e0,3.115702928e-1,3.257508799e-1
2.754166667e0,3.115498443e-1,3.257689616e-1
2.758333333e0,3.115526161e-1,3.257809027e-1
2.762500000e0,3.115539043e-1,3.257919318e-1
2.766666667e0,3.114966120e-1,3.257606387e-1
2.770833333e0,3.114240094e-1,3.257242380e-1
2.775000000e0,3.113310051e-1,3.256854202e-1
2.779166667e0,3.112209964e-1,3.256314670e-1
2.783333333e0,3.111029900e-1,3.255386490e-1
2.787500000e0,3.109735085e-1,3.255635278e-1
2.791666667e0,3.108805463e-1,3.255823198e-1
2.795833333e0,3.108158091e-1,3.256020115e-1
2.800000000e0,3.107726848e-1,3.256489307e-1
2.804166667e0,3.107244781e-1,3.256805071e-1
2.808333333e0,3.106848194e-1,3.257105406e-1
2.812500000e0,3.106343226e-1,3.257323958e-1
2.816666667e0,3.101469107e-1,3.254366649e-1
2.820833333e0,3.099873377e-1,3.252993925e-1
2.825000000e0,3.099777611e-1,3.252718678e-1
2.829166667e0,3.099694110e-1,3.252498180e-1
2.833333333e0,3.099329704e-1,3.252381583e-1
2.837500000e0,3.098868894e-1,3.251915057e-1
2.841666667e0,3.098369012e-1,3.251724798e-1
2.845833333e0,3.097892905e-1,3.251532671e-1
2.850000000e0,3.097462787e-1,3.251488566e-1
2.854166667e0,3.097048934e-1,3.251411697e-1
2.858333333e0,3.096597583e-1,3.251366972e-1
2.862500000e0,3.095946534e-1,3.251275129e-1
2.866666667e0,3.095085585e-1,3.249618942e-1
2.870833333e0,3.093762693e-1,3.248957009e-1
2.875000000e0,3.093093949e-1,3.247862307e-1
2.879166667e0,3.090371095e-1,3.246600834e-1
2.883333333e0,3.090335576e-1,3.245293624e-1
2.887500000e0,3.090288087e-1,3.244579779e-1
2.891666667e0,3.090191522e-1,3.244108995e-1
2.895833333e0,3.090021701e-1,3.243708256e-1
2.900000000e0,3.089915533e-1,3.243739904e-1
2.904166667e0,3.089768504e-1,3.243775980e-1
2.908333333e0,3.089586572e-1,3.243807416e-1
2.912500000e0,3.089365484e-1,3.243852079e-1
2.916666667e0,3.089236705e-1,3.243738489e-1
2.920833333e0,3.089081616e-1,3.243635232e-1
2.925000000e0,3.088903395e-1,3.243488423e-1
2.929166667e0,3.088700919e-1,3.243328489e-1
2.933333333e0,3.087851559e-1,3.243197724e-1
2.937500000e0,3.081731274e-1,3.238984398e-1
2.941666667e0,3.081264241e-1,3.238070774e-1
2.945833333e0,3.080970374e-1,3.237497735e-1
2.950000000e0,3.081022582e-1,3.236894859e-1
2.954166667e0,3.081080612e-1,3.236509257e-1
2.958333333e0,3.081093859e-1,3.236223283e-1
2.962500000e0,3.081087638e-1,3.235994436e-1
2.966666667e0,3.080870776e-1,3.235898622e-1
2.970833333e0,3.080523934e-1,3.235805014e-1
2.975000000e0,3.080609460e-1,3.235807040e-1
2.979166667e0,3.079662055e-1,3.235585374e-1
2.983333333e0,3.078835095e-1,3.235445944e-1
2.987500000e0,3.073116964e-1,3.231239123e-1
2.991666667e0,3.072763019e-1,3.230258018e-1
2.995833333e0,3.072346759e-1,3.229707697e-1
3.000000000e0,3.072094765e-1,3.229515727e-1
3.004166667e0,3.071749942e-1,3.229387873e-1
3.008333333e0,3.071420551e-1,3.229262391e-1
3.012500000e0,3.071046057e-1,3.229144647e-1
3.016666667e0,3.070847545e-1,3.228948896e-1
3.020833333e0,3.070501852e-1,3.228782633e-1
3.025000000e0,3.070213663e-1,3.228644747e-1
3.029166667e0,3.069915433e-1,3.228509137e-1
3.033333333e0,3.069916831e-1,3.228369884e-1
3.037500000e0,3.069813892e-1,3.228248705e-1
3.041666667e0,3.069669783e-1,3.225661209e-1
3.045833333e0,3.068848613e-1,3.225514395e-1
3.050000000e0,3.068201192e-1,3.225388595e-1
3.054166667e0,3.067785502e-1,3.225236820e-1
3.058333333e0,3.067457699e-1,3.225020596e-1
3.062500000e0,3.067181379e-1,3.224797628e-1
3.066666667e0,3.066887752e-1,3.224809652e-1
3.070833333e0,3.066685411e-1,3.224732147e-1
3.075000000e0,3.062746884e-1,3.223529227e-1
3.079166667e0,3.062276591e-1,3.222056479e-1
3.083333333e0,3.060836706e-1,3.219366881e-1
3.087500000e0,3.059217459e-1,3.219362927e-1
3.091666667e0,3.058430591e-1,3.219324937e-1
3.095833333e0,3.057960066e-1,3.219267349e-1
3.100000000e0,3.057900612e-1,3.219184160e-1
3.104166667e0,3.057876236e-1,3.219072133e-1
3.108333333e0,3.057812591e-1,3.218959010e-1
3.112500000e0,3.057745702e-1,3.218853447e-1
3.116666667e0,3.057525142e-1,3.218674970e-1
3.120833333e0,3.057296827e-1,3.218427206e-1
3.125000000e0,3.057030007e-1,3.218082182e-1
3.129166667e0,3.051059753e-1,3.212814016e-1
3.133333333e0,3.050396434e-1,3.212340422e-1
3.137500000e0,3.049979699e-1,3.212059141e-1
3.141666667e0,3.049718785e-1,3.211904678e-1
3.145833333e0,3.049527784e-1,3.211765162e-1
3.150000000e0,3.049479684e-1,3.211692726e-1
3.154166667e0,3.049430217e-1,3.211619707e-1
3.158333333e0,3.049387972e-1,3.211528751e-1
3.162500000e0,3.049343841e-1,3.211441222e-1
3.166666667e0,3.049358825e-1,3.211462589e-1
3.170833333e0,3.049367721e-1,3.211481350e-1
3.175000000e0,3.049373844e-1,3.211496005e-1
3.179166667e0,3.049378337e-1,3.211513506e-1
3.183333333e0,3.049307869e-1,3.211500774e-1
3.187500000e0,3.049239693e-1,3.211497807e-1
3.191666667e0,3.049156795e-1,3.211482435e-1
3.195833333e0,3.049086183e-1,3.211475646e-1
3.200000000e0,3.049112918e-1,3.211487093e-1
3.204166667e0,3.049132730e-1,3.211498003e-1
3.208333333e0,3.049150204e-1,3.211506466e-1
3.212500000e0,3.049168598e-1,3.211514922e-1
3.216666667e0,3.049132821e-1,3.211537030e-1
3.220833333e0,3.049096685e-1,3.211544880e-1
3.225000000e0,3.049057861e-1,3.211582111e-1
3.229166667e0,3.048996020e-1,3.211586826e-1
3.233333333e0,3.049014197e-1,3.211593076e-1
3.237500000e0,3.049031300e-1,3.211599353e-1
3.241666667e0,3.049047917e-1,3.211605500e-1
3.245833333e0,3.049064349e-1,3.211611604e-1
3.250000000e0,3.049046872e-1,3.211232051e-1
3.254166667e0,3.049007923e-1,3.210798712e-1
3.258333333e0,3.048992145e-1,3.210138890e-1
3.262500000e0,3.043737735e-1,3.204387098e-1
3.266666667e0,3.043801556e-1,3.203871981e-1
3.270833333e0,3.043929895e-1,3.203435830e-1
3.275000000e0,3.044124698e-1,3.203009546e-1
3.279166667e0,3.044332455e-1,3.202540237e-1
3.283333333e0,3.043936096e-1,3.202429598e-1
3.287500000e0,3.043575534e-1,3.202343571e-1
3.291666667e0,3.043340638e-1,3.202171058e-1
3.295833333e0,3.043101968e-1,3.202045703e-1
3.300000000e0,3.043016608e-1,3.201945664e-1
3.304166667e0,3.042922368e-1,3.201806950e-1
3.308333333e0,3.042840880e-1,3.201700977e-1
3.312500000e0,3.042754603e-1,3.201598302e-1
3.316666667e0,3.042879122e-1,3.200829436e-1
3.320833333e0,3.042969986e-1,3.199766950e-1
3.325000000e0,3.040774050e-1,3.198639544e-1
3.329166667e0,3.040993761e-1,3.197369451e-1
3.333333333e0,3.040967560e-1,3.196744224e-1
3.337500000e0,3.040941049e-1,3.196277220e-1
3.341666667e0,3.040906123e-1,3.195955443e-1
3.345833333e0,3.040868659e-1,3.195641210e-1
3.350000000e0,3.040767012e-1,3.195426622e-1
3.354166667e0,3.040660682e-1,3.195210624e-1
3.358333333e0,3.040536231e-1,3.194919691e-1
3.362500000e0,3.040435586e-1,3.194602848e-1
3.366666667e0,3.040355440e-1,3.194072821e-1
3.370833333e0,3.035519339e-1,3.188026367e-1
3.375000000e0,3.035119222e-1,3.187587584e-1
3.379166667e0,3.034793558e-1,3.187251074e-1
3.383333333e0,3.034580669e-1,3.186869868e-1
3.387500000e0,3.034402945e-1,3.186474790e-1
3.391666667e0,3.034307737e-1,3.185943636e-1
3.395833333e0,3.034231731e-1,3.185196447e-1
3.400000000e0,3.034166432e-1,3.185403097e-1
3.404166667e0,3.034103169e-1,3.185597860e-1
3.408333333e0,3.034045974e-1,3.185763461e-1
3.412500000e0,3.033995808e-1,3.185906421e-1
3.416666667e0,3.030940964e-1,3.182774484e-1
3.420833333e0,3.031186720e-1,3.182384021e-1
3.425000000e0,3.030562164e-1,3.181243322e-1
3.429166667e0,3.029717664e-1,3.180562235e-1
3.433333333e0,3.029573489e-1,3.180500365e-1
3.437500000e0,3.029328753e-1,3.180451364e-1
