mass_A
t,x,y
1.137500000e0,2.705933174e-1,3.690963962e-1
1.141666667e0,2.705702503e-1,3.691009822e-1
1.145833333e0,2.705579779e-1,3.691737915e-1
1.150000000e0,2.705463189e-1,3.692687867e-1
1.154166667e0,2.704109868e-1,3.694710030e-1
1.158333333e0,2.704137405e-1,3.695106063e-1
1.162500000e0,2.703758848e-1,3.695345046e-1
1.166666667e0,2.703130446e-1,3.695665863e-1
1.170833333e0,2.703274083e-1,3.696598319e-1
1.175000000e0,2.703477715e-1,3.697989836e-1
1.179166667e0,2.703087810e-1,3.698596940e-1
1.183333333e0,2.700596705e-1,3.699270027e-1
1.187500000e0,2.699351774e-1,3.704831754e-1
1.191666667e0,2.697902397e-1,3.705054491e-1
1.195833333e0,2.697969655e-1,3.704099898e-1
1.200000000e0,2.696898956e-1,3.703432552e-1
1.204166667e0,2.696914643e-1,3.704108818e-1
1.208333333e0,2.697036917e-1,3.705293012e-1
1.212500000e0,2.696911072e-1,3.706424353e-1
1.216666667e0,2.695117273e-1,3.707977531e-1
1.220833333e0,2.695044335e-1,3.708817172e-1
1.225000000e0,2.694934859e-1,3.709451199e-1
1.229166667e0,2.694749652e-1,3.709872502e-1
1.233333333e0,2.694546932e-1,3.710260633e-1
1.237500000e0,2.694249792e-1,3.710627171e-1
1.241666667e0,2.693764343e-1,3.711036347e-1
1.245833333e0,2.693125570e-1,3.711314355e-1
1.250000000e0,2.690480706e-1,3.718180453e-1
1.254166667e0,2.690132077e-1,3.718583116e-1
1.258333333e0,2.689825287e-1,3.718861215e-1
1.262500000e0,2.689821609e-1,3.718860686e-1
1.266666667e0,2.689824726e-1,3.718860380e-1
1.270833333e0,2.689822970e-1,3.718860239e-1
1.275000000e0,2.689828910e-1,3.718860315e-1
1.279166667e0,2.689270790e-1,3.718977914e-1
1.283333333e0,2.688884050e-1,3.719085699e-1
1.287500000e0,2.688594045e-1,3.719170627e-1
1.291666667e0,2.688374150e-1,3.719256629e-1
1.295833333e0,2.688533944e-1,3.720369688e-1
1.300000000e0,2.688310212e-1,3.720528708e-1
1.304166667e0,2.688060872e-1,3.720680181e-1
1.308333333e0,2.687798140e-1,3.720921497e-1
1.312500000e0,2.687500652e-1,3.721227565e-1
1.316666667e0,2.687419912e-1,3.721964845e-1
1.320833333e0,2.687314450e-1,3.722733886e-1
1.325000000e0,2.685539856e-1,3.723530063e-1
1.329166667e0,2.685217181e-1,3.724178221e-1
1.333333333e0,2.684585144e-1,3.724534982e-1
1.337500000e0,2.683681278e-1,3.724934108e-1
1.341666667e0,2.684498648e-1,3.730559902e-1
1.345833333e0,2.681254259e-1,3.731246513e-1
1.350000000e0,2.681045348e-1,3.732478502e-1
1.354166667e0,2.680873312e-1,3.733374165e-1
1.358333333e0,2.680760698e-1,3.734060972e-1
1.362500000e0,2.680661397e-1,3.734526498e-1
1.366666667e0,2.680528718e-1,3.734826344e-1
1.370833333e0,2.680445359e-1,3.735074360e-1
1.375000000e0,2.680358710e-1,3.735304438e-1
1.379166667e0,2.680281495e-1,3.735571648e-1
1.383333333e0,2.679939265e-1,3.735737650e-1
1.387500000e0,2.679515179e-1,3.736011601e-1
1.391666667e0,2.679051552e-1,3.736341922e-1
1.395833333e0,2.678362663e-1,3.736716621e-1
1.400000000e0,2.678431415e-1,3.737150205e-1
1.404166667e0,2.674336476e-1,3.743740260e-1
1.408333333e0,2.674506410e-1,3.744087902e-1
1.412500000e0,2.674733372e-1,3.744473572e-1
1.416666667e0,2.673885967e-1,3.744709069e-1
1.420833333e0,2.675027451e-1,3.744947082e-1
1.425000000e0,2.674559485e-1,3.745259826e-1
1.429166667e0,2.674246012e-1,3.745661098e-1
1.433333333e0,2.673801710e-1,3.745948993e-1
1.437500000e0,2.673436729e-1,3.746260114e-1
1.441666667e0,2.673082649e-1,3.746735822e-1
1.445833333e0,2.672732728e-1,3.747194553e-1
1.450000000e0,2.669238821e-1,3.747627069e-1
1.454166667e0,2.668481480e-1,3.747998982e-1
1.458333333e0,2.667659034e-1,3.753693602e-1
1.462500000e0,2.667449514e-1,3.753857515e-1
1.466666667e0,2.667298692e-1,3.754071097e-1
1.470833333e0,2.667197512e-1,3.754346819e-1
1.475000000e0,2.667081666e-1,3.754524640e-1
1.479166667e0,2.666975064e-1,3.754738642e-1
1.483333333e0,2.663684208e-1,3.755563775e-1
1.487500000e0,2.663572548e-1,3.756361210e-1
1.491666667e0,2.663467073e-1,3.757066752e-1
1.495833333e0,2.663341392e-1,3.757614898e-1
1.500000000e0,2.663117154e-1,3.757700759e-1
1.504166667e0,2.662877976e-1,3.757790235e-1
1.508333333e0,2.662615870e-1,3.757894642e-1
1.512500000e0,2.662320662e-1,3.757989499e-1
1.516666667e0,2.661080695e-1,3.761204379e-1
1.520833333e0,2.660862444e-1,3.761246532e-1
1.525000000e0,2.660423494e-1,3.761291857e-1
1.529166667e0,2.659765162e-1,3.761384592e-1
1.533333333e0,2.658952825e-1,3.761376475e-1
1.537500000e0,2.652846096e-1,3.766395122e-1
1.541666667e0,2.652440231e-1,3.766608894e-1
1.545833333e0,2.652001816e-1,3.766717457e-1
1.550000000e0,2.654340370e-1,3.764815961e-1
1.554166667e0,2.653387634e-1,3.763227073e-1
1.558333333e0,2.653332796e-1,3.764281778e-1
1.562500000e0,2.648619882e-1,3.769640640e-1
1.566666667e0,2.648103376e-1,3.769844086e-1
1.570833333e0,2.647595808e-1,3.770026619e-1
1.575000000e0,2.647171022e-1,3.770209000e-1
1.579166667e0,2.646923265e-1,3.770446555e-1
1.583333333e0,2.646168348e-1,3.770362486e-1
1.587500000e0,2.645635882e-1,3.770307774e-1
1.591666667e0,2.645264963e-1,3.770379901e-1
1.595833333e0,2.644872083e-1,3.770499348e-1
1.600000000e0,2.644633120e-1,3.770648958e-1
1.604166667e0,2.644268716e-1,3.770798850e-1
1.608333333e0,2.638090174e-1,3.776573048e-1
1.612500000e0,2.637675885e-1,3.776768122e-1
1.616666667e0,2.637665055e-1,3.776810743e-1
1.620833333e0,2.637663838e-1,3.776896137e-1
1.625000000e0,2.637646091e-1,3.776958191e-1
1.629166667e0,2.637669313e-1,3.777069193e-1
1.633333333e0,2.637417133e-1,3.777133022e-1
1.637500000e0,2.637236928e-1,3.777208920e-1
1.641666667e0,2.637070931e-1,3.777240092e-1
1.645833333e0,2.636917492e-1,3.777291602e-1
1.650000000e0,2.636627013e-1,3.777247635e-1
1.654166667e0,2.636332121e-1,3.777221050e-1
1.658333333e0,2.635890844e-1,3.777134134e-1
1.662500000e0,2.635387204e-1,3.777073059e-1
1.666666667e0,2.634725505e-1,3.777281201e-1
1.670833333e0,2.633585863e-1,3.777542133e-1
1.675000000e0,2.628165339e-1,3.781623698e-1
1.679166667e0,2.632519254e-1,3.781354394e-1
1.683333333e0,2.632061794e-1,3.781303084e-1
1.687500000e0,2.631552855e-1,3.781201006e-1
1.691666667e0,2.631197549e-1,3.781115383e-1
1.695833333e0,2.630747077e-1,3.780914070e-1
1.700000000e0,2.630684602e-1,3.780871834e-1
1.704166667e0,2.630619064e-1,3.780929623e-1
1.708333333e0,2.630547525e-1,3.780911730e-1
